"codice_istat","denominazione_ita","cap","sigla_provincia","denominazione_provincia","denominazione_regione","lat","lon","superficie_kmq","punti_di_misura"
6164,"Solonghello",15020,"AL","Alessandria","Piemonte",45.1309437,8.2818208,4.965,"SMP8691db"
6166,"Spineto Scrivia",15050,"AL","Alessandria","Piemonte",44.8375523,8.8723907,3.8076,"SMP5096wt"
6175,"Treville",15030,"AL","Alessandria","Piemonte",45.0971075,8.3596816,4.7509,"SMP9721ya"
6183,"Villalvernia",15050,"AL","Alessandria","Piemonte",44.8175559,8.8566101,4.5925,"SMP2067fg"
6008,"Alzano Scrivia",15050,"AL","Alessandria","Piemonte",45.0175412,8.8811864,2.2938,"SMP3095do"
6016,"Berzano di Tortona",15050,"AL","Alessandria","Piemonte",44.8764084,8.9505903,2.896,"SMP0408mo"
6046,"Castellar Guidobono",15050,"AL","Alessandria","Piemonte",44.9062539,8.946693,2.657,"SMP5467ah"
6086,"Guazzora",15050,"AL","Alessandria","Piemonte",45.0135093,8.8449197,2.8938,"SMP1626rk"
6096,"Molino dei Torti",15050,"AL","Alessandria","Piemonte",45.0235475,8.8919854,2.5773,"SMP6133so"
6118,"Olivola",15030,"AL","Alessandria","Piemonte",45.0376601,8.3669236,2.851,"SMP6595rt"
6189,"Volpeglino",15050,"AL","Alessandria","Piemonte",44.8929706,8.9589614,3.2594,"SMP4930mk"
